model,split,rmse_log,mae_log,r2_log,rmse_learners,mae_learners,best_params
best:hist_gradient_boosting_random_search,test,1.3758320748729282,0.9644163918201213,0.4665254327802566,170.2144935262828,53.354373885023925,{}
hist_gradient_boosting_random_search,val,0.992413093925824,0.7295830091111067,0.4755197754964412,28.243452393067333,12.495366511542962,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.08, ""model__max_iter"": 350, ""model__max_leaf_nodes"": 31, ""model__min_samples_leaf"": 20}"
hist_gradient_boosting_default,val,1.037009812941547,0.77512638789761,0.4273228191521289,29.14720925965592,12.994471281327769,{}
extra_trees_random_search,val,1.0600501573498005,0.8709009891711494,0.40159257167808193,27.61732132115142,12.921950067693832,"{""model__max_depth"": 12, ""model__max_features"": 1.0, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 400}"
random_forest_default,val,1.0702410808969613,0.8461047382083942,0.3900315378760072,27.30658430748252,12.88448580868422,{}
extra_trees_default,val,1.081156658711349,0.872313009955857,0.37752573484174323,28.04792618526109,13.13303299857032,{}
ridge_alpha_10,val,1.4848806628272928,1.1694720119104336,-0.1741599142720318,34.48597059057543,17.608786332036622,{}
ridge_alpha_1,val,1.4897965850356634,1.172971518022374,-0.181947251818803,34.62650714868955,17.673530215201936,{}
dummy_median,val,1.7361670398132998,1.6074521764809013,-0.6051926429223158,30.561288322550144,19.090106007067135,{}
