mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_leaf_nodes,param_model__max_iter,param_model__learning_rate,param_model__l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
5.108565330505371,0.30101384426251315,0.25780479113260907,0.013024762745128333,10,63,250,0.06,1.0,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 63, 'model__max_iter': 250, 'model__learning_rate': 0.06, 'model__l2_regularization': 1.0}",-1.4540657293001737,-1.687805908075221,-1.273912282768584,-1.4719279733813264,0.16944276927639157,6,-0.015480395959136794,-0.010522909281286385,-0.014209723043735547,-0.01340434276138624,0.0021024821187767334
7.925015687942505,0.756636746406566,0.46387704213460285,0.0794683056463534,20,63,500,0.1,0.01,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__max_iter': 500, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.01}",-1.4846827786956016,-1.790442520451788,-1.285394857681559,-1.5201733856096495,0.20770648008148956,11,-0.010063480777586589,-0.0028346220972162725,-0.005213287242786619,-0.006037130039196492,0.0030081153756783383
1.754099448521932,0.04160520986629208,0.25288089116414386,0.029398039721125684,40,15,250,0.06,0.01,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 15, 'model__max_iter': 250, 'model__learning_rate': 0.06, 'model__l2_regularization': 0.01}",-1.4260133534552843,-1.7407447589551517,-1.2776094261535864,-1.4814558461880074,0.19309580803773324,9,-0.11673717247942463,-0.125391765321349,-0.10736330202723267,-0.11649741327600209,0.007362041634562351
3.669640143712362,0.07398063851096937,0.386660893758138,0.07119645176077073,20,31,350,0.08,1.0,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_iter': 350, 'model__learning_rate': 0.08, 'model__l2_regularization': 1.0}",-1.3984456684067623,-1.7135601671185121,-1.1298245861109755,-1.41394347387875,0.23856088477142443,1,-0.023245101704105285,-0.019649108302935238,-0.017382383419391394,-0.02009219780881064,0.0024138644886215585
3.322897513707479,0.33837273911829535,0.3218369483947754,0.011903553425694293,80,63,150,0.1,1.0,"{'model__min_samples_leaf': 80, 'model__max_leaf_nodes': 63, 'model__max_iter': 150, 'model__learning_rate': 0.1, 'model__l2_regularization': 1.0}",-1.4464177263745877,-1.917457530953543,-1.0759060917131766,-1.4799271163471024,0.34437805353432016,7,-0.09061560128854947,-0.06837216850160993,-0.07961094780803579,-0.07953290586606505,0.009081011083401968
4.727207978566487,0.2514245471365228,0.22533758481343588,0.02384647502406028,20,63,250,0.02,0.01,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__max_iter': 250, 'model__learning_rate': 0.02, 'model__l2_regularization': 0.01}",-1.4680949190318056,-1.826464897227352,-1.3231633965566825,-1.5392410709386135,0.21154106195992137,12,-0.0810226091183316,-0.07735084180210597,-0.07426920626324751,-0.0775475523945617,0.002760571658630715
4.001355409622192,0.3939689128814842,0.3259604771931966,0.031210579930898163,80,63,250,0.1,0.0,"{'model__min_samples_leaf': 80, 'model__max_leaf_nodes': 63, 'model__max_iter': 250, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.0}",-1.4401719510670878,-1.9072032553534524,-1.095118663368013,-1.4808312899295177,0.33277643397390866,8,-0.061545901752483985,-0.04093906989189909,-0.049786608241873184,-0.05075719329541876,0.008440651884075808
5.819832881291707,0.13900177460995908,0.27576788266499835,0.013395318928759918,40,63,500,0.04,0.01,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 63, 'model__max_iter': 500, 'model__learning_rate': 0.04, 'model__l2_regularization': 0.01}",-1.4104492077788964,-1.8398452579665692,-1.22427455867605,-1.491523008140505,0.2577615723688078,10,-0.03833034662113033,-0.034159406715065385,-0.03198574610506089,-0.03482516648041887,0.002632605297166007
2.7621052265167236,0.128574497203899,0.29330650965372723,0.025665655872918886,40,15,500,0.04,0.0,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 15, 'model__max_iter': 500, 'model__learning_rate': 0.04, 'model__l2_regularization': 0.0}",-1.3628638564869588,-1.687058803440483,-1.2270813595170111,-1.4256680064814844,0.19296473455356863,3,-0.09593641164752406,-0.09857585156922345,-0.08566452704895228,-0.09339226342189993,0.005569565683988817
1.6135681470235188,0.22776565295220844,0.16851909955342612,0.028676155848877213,40,15,250,0.08,1.0,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 15, 'model__max_iter': 250, 'model__learning_rate': 0.08, 'model__l2_regularization': 1.0}",-1.376238063749298,-1.727803554679084,-1.187248102567764,-1.4304299069987152,0.22398305904375218,4,-0.09300541097073385,-0.10106144447169382,-0.08672781203543996,-0.09359822249262255,0.005866675596381663
