mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.934950113296509,0.2612909715538778,1.426966667175293,0.25350535078697056,700,8,log2,24,"{'model__n_estimators': 700, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 24}",-1.5672100712595327,-1.8918859687268286,-1.3183422735160915,-1.592479437834151,0.23482901331863937,10,-0.4703762213326807,-0.4925861616372241,-0.5258531150116801,-0.49627183266052827,0.022797800496784315
6.775253057479858,0.1517365189258253,1.0670846303304036,0.3002720463037209,700,1,0.5,,"{'model__n_estimators': 700, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': None}",-1.469205211916123,-1.8545798698000064,-1.326683459739321,-1.55015618048515,0.2229849762098149,8,-1.4040727537617912e-05,-1.572428264026137e-05,-3.1357165215962383e-14,-9.921670069745482e-06,7.049266709329822e-06
6.853066603342692,0.3464800807875516,1.0901267528533936,0.04426029764065566,700,4,0.5,16,"{'model__n_estimators': 700, 'model__min_samples_leaf': 4, 'model__max_features': 0.5, 'model__max_depth': 16}",-1.4829167285124139,-1.8367815302206536,-1.2901955811068284,-1.536631279946632,0.22635221774776837,6,-0.11876817723528234,-0.10982219086616764,-0.10518124448295843,-0.1112572041948028,0.005638890720940509
0.5400528907775879,0.09518751735704173,0.7951598962148031,0.014807260692406024,200,8,sqrt,8,"{'model__n_estimators': 200, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 8}",-1.6061453455974124,-1.9746481923066843,-1.3652266214593145,-1.6486733864544705,0.25060611650938563,12,-0.9717937076378071,-0.8358142623759255,-0.9515496524551573,-0.91971920748963,0.05990261710175867
10.2082306543986,0.15456976959041852,0.7088197072347006,0.01435046956020208,700,2,1.0,24,"{'model__n_estimators': 700, 'model__min_samples_leaf': 2, 'model__max_features': 1.0, 'model__max_depth': 24}",-1.4747582234352934,-1.7762968201492435,-1.296048533328712,-1.5157011923044161,0.1981865270788731,3,-0.030880651693649327,-0.03351579963132533,-0.02364292712957906,-0.029346459484851237,0.004174023810752001
6.335120519002278,0.7130939852786372,0.6918950875600179,0.20982431085792608,400,8,0.8,24,"{'model__n_estimators': 400, 'model__min_samples_leaf': 8, 'model__max_features': 0.8, 'model__max_depth': 24}",-1.4684931806179733,-1.8152470551538715,-1.286270166670394,-1.5233368008140795,0.21940830149073884,5,-0.12100033928736467,-0.15482472686475146,-0.13329215704400782,-0.13637240773204132,0.013979467251941746
3.6581183274586997,0.36518366215310366,0.8481135368347168,0.05964456245052578,400,2,log2,24,"{'model__n_estimators': 400, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 24}",-1.5700410565156968,-1.8900111422815942,-1.3092218154008037,-1.5897580047326982,0.23751579468869624,9,-0.15114796751727255,-0.15449737616809475,-0.1635504789422929,-0.15639860754255341,0.005238739222774858
5.19854752222697,0.19863557205003032,0.8923691908518473,0.10583738970407909,400,1,1.0,12,"{'model__n_estimators': 400, 'model__min_samples_leaf': 1, 'model__max_features': 1.0, 'model__max_depth': 12}",-1.465558466414233,-1.7755949519225003,-1.2620466580937793,-1.501066692143504,0.21115332201101053,1,-0.20633084272143992,-0.11456635234109923,-0.17265803376267505,-0.16451840960840472,0.037902247380337886
3.4520324071248374,0.4996137792478867,1.0187541643778484,0.12421784957672098,700,2,sqrt,8,"{'model__n_estimators': 700, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 8}",-1.6110660775163304,-1.94943152991139,-1.3430854413451099,-1.6345276829242767,0.24809504895791512,11,-0.9668601047851925,-0.8236602787493374,-0.9218720505468228,-0.9041308113604508,0.05979192375829045
5.188128232955933,0.29632808493939655,0.39241687456766766,0.25431889981239364,400,4,1.0,16,"{'model__n_estimators': 400, 'model__min_samples_leaf': 4, 'model__max_features': 1.0, 'model__max_depth': 16}",-1.4806234877155022,-1.7736938542634975,-1.2933053229218705,-1.5158742216336234,0.19769546604557553,4,-0.08948057469727755,-0.08969537557970629,-0.07776138620768085,-0.08564577882822157,0.0055757971089881375
3.6741789976755777,0.27978736375246305,0.42087697982788086,0.29601595512268386,200,8,1.0,24,"{'model__n_estimators': 200, 'model__min_samples_leaf': 8, 'model__max_features': 1.0, 'model__max_depth': 24}",-1.4783813343321675,-1.7843679080707249,-1.2675277074280455,-1.5100923166103126,0.21218724128761823,2,-0.11531874603844575,-0.14729569967134545,-0.12675611584479549,-0.12979018718486224,0.013229653121746749
3.0668333371480307,0.09969884646056763,0.3051456610361735,0.21078395036862355,200,8,1.0,8,"{'model__n_estimators': 200, 'model__min_samples_leaf': 8, 'model__max_features': 1.0, 'model__max_depth': 8}",-1.513643457818699,-1.8113830949807952,-1.3173436990255167,-1.547456750608337,0.20310298744876937,7,-0.5678201939527077,-0.4685946207947947,-0.566172171692643,-0.5341956621467151,0.04639182014238212
